feature,importance_mean,importance_std
Sulfate,0.07207139601890172,0.015633046428181988
ph,0.06488773070104895,0.012941550289813563
Solids,0.05033055247644123,0.017161822607664932
Chloramines,0.02776554682481692,0.009042408697135714
Hardness,0.019867451955691968,0.009268206749748827
Conductivity,-0.000418875495732185,0.015321921138874922
Organic_carbon,-0.0019885257200850078,0.012723730787367809
Turbidity,-0.006299880703773839,0.009129401266495241
Trihalomethanes,-0.015485212472027124,0.015168350939868838
