feature,importance_mean,importance_std
Ca,0.06673677769584502,0.03188609440165925
pH,0.004055389369265893,0.0210760274901588
EC,-0.001768510272253343,0.03215033990758608
K,-0.005003956687259758,0.021789042809809357
NO3,-0.013797555761781044,0.02152867354137386
Mg,-0.014604610657934359,0.023924596134480246
Na,-0.029960258160882935,0.035664775967424685
TDS,-0.03924663447414152,0.024778461038267554
