axe,model,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
Potabilité,SVM-RBF,0.6219512195121951,0.5158730158730159,0.5078125,0.5118110236220472,0.6439746093749998,0.5661771229846237,0.2034013091560609
Agressivité A — avec variables Larson,Random Forest,0.8947368421052632,0.9,0.9,0.9,0.9450617283950618,0.9417471494751838,0.7888888888888889
Agressivité B — sans variables Larson,Random Forest,0.7543859649122807,0.8076923076923077,0.7,0.75,0.832716049382716,0.8409634905045863,0.5160906899185141
