metric,A,B,B_minus_A
accuracy,0.8947368421052632,0.7543859649122807,-0.14035087719298245
precision,0.9,0.8076923076923077,-0.09230769230769231
recall,0.9,0.7,-0.20000000000000007
f1,0.9,0.75,-0.15000000000000002
roc_auc,0.9450617283950618,0.832716049382716,-0.11234567901234571
pr_auc,0.9417471494751838,0.8409634905045863,-0.10078365897059749
mcc,0.7888888888888889,0.5160906899185141,-0.2727981989703747
