feature,importance_mean,importance_std
Cl,0.2017926329156531,0.05117140305535719
HCO3,0.1403100694374495,0.033190539639567196
SO4,0.0687582164080189,0.021936636849994053
pH,0.008114754098360677,0.007340071257343937
EC,0.006617115865518219,0.013371298368218041
NO3,0.0007377049180327888,0.003215581187857883
Mg,0.0,0.0
K,0.0,0.0
Na,-0.004508196721311475,0.007808425771826905
Ca,-0.013685880486515067,0.007556653942619833
TDS,-0.024984135378106787,0.010246022414463587
